Month,Departures,Aircraft_Flown_Hours,Aircraft_Flown_Kilometres,Passengers_Carried,Passenger_Kms_Performed,Available_Seat_Kms,Passenger_Load_Factor,Cargo_Freight,Cargo_Mail,Total_Cargo,Passenger_Tonne_Kms,Freight_Tonne_Kms,Mail_Tonne_Kms,Total_Tonne_Kms,Available_Tonne_Kms,Weight_Load_Factor
JAN,165.0,227.0,89.0,22578.0,11792.0,14825.0,79.5,4.9,0.0,4.9,1134.3,8.1,0.0,1142.4,1377.2,83.0
FEB,141.0,187.0,75.0,20155.0,10610.0,12459.0,85.2,4.8,0.0,4.8,968.2,3.0,0.0,971.2,1115.5,87.1
MAR,112.0,137.0,49.0,14223.0,5855.0,8042.0,72.8,4.4,0.0,4.4,560.1,6.4,0.0,566.5,739.8,76.6
APR,113.0,179.65,79.0,14128.0,8866.0,12290.0,72.1,9.3,0.0,9.3,851.8,14.4,0.0,866.2,1133.3,76.4
MAY,79.0,109.75,41.0,10102.0,5184.0,6778.0,76.5,1.0,0.0,1.0,504.7,1.3,0.0,506.0,630.0,80.3
JUN,81.0,97.0,28.0,10376.0,3635.0,4687.0,77.6,0.0,0.0,0.0,354.9,0.0,0.0,354.9,436.9,81.2
JUL,80.0,92.0,28.0,10571.0,3552.0,4684.0,75.8,0.0,0.0,0.0,343.7,0.0,0.0,343.7,431.9,79.6
AUG,,,,,,,,,,,,,,,,
SEP,80.0,90.0,29.0,10416.0,3853.0,4761.0,80.9,0.0,0.0,0.0,373.0,0.0,0.0,373.0,443.8,84.1
TOTAL,851.0,1120.0,417.0,112549.0,53347.0,68526.0,77.8,24.3,0.0,24.3,5090.7,33.2,0.0,5123.8,6308.5,81.2
