Month,Departures,Aircraft_Flown_Hours,Aircraft_Flown_Kilometres,Passengers_Carried,Passenger_Kms_Performed,Available_Seat_Kms,Passenger_Load_Factor,Cargo_Freight,Cargo_Mail,Total_Cargo,Passenger_Tonne_Kms,Freight_Tonne_Kms,Mail_Tonne_Kms,Total_Tonne_Kms,Available_Tonne_Kms,Weight_Load_Factor
JAN,16899,34638,17697,2422796,2542896,3031555,83.9,12069.0,799.1,12868.2,231178.0,15339.8,807.2,247325.0,286389.2,86.4
FEB,16212,33109,16806,2406210,2519192,2879577,87.5,11879.2,851.8,12731.0,24790.1,15124.4,895.1,240809.6,268770.2,89.6
MAR,16855,34314,17552,2303093,2413939,3002344,80.4,13706.9,777.5,14484.4,24012.8,17335.5,756.7,232105.0,277373.9,83.7
APR,15882,33038,16574,2180617,2301410,2798618,82.2,18644.8,785.3,13380.1,205463.9,16009.6,721.5,222195.1,261443.1,85.0
MAY,16010,33439,16983,2093391,2250087,2871855,78.4,15661.1,810.1,15891.2,202040.0,19401.4,832.1,222273.5,267992.8,82.9
JUN,15545,32260,16299,2098185,2231137,2745113,81.3,21580.4,685.8,22266.3,199715.3,27480.0,688.7,227884.0,255913.7,89.1
JULY,14105,29685,15178,1870732,1992242,2537147,78.5,20605.5,807.0,21412.5,177669.3,26500.3,806.6,204976.2,235655.7,87.0
AUG,14249,34771,16175,1986947,2362940,2885313,81.9,19267.3,746.1,20013.3,211078.9,25345.5,776.6,237200.9,270515.7,87.7
SEP,14747,31354,16086,2008221,2202364,2778443,79.3,24049.7,800.5,24850.2,194824.1,31361.8,833.4,227019.3,259736.1,87.4
TOTAL,140504,296609,149350,19370192,20816008,25529966,81.5,150883.9,7013.2,157897.2,1860772.3,193898.4,7117.9,2061788.6,2383790.4,86.5
