Month,Departures,Aircraft_Flown_Hours,Aircraft_Flown_Kilometres,Passengers_Carried,Passenger_Kms_Performed,Available_Seat_Kms,Passenger_Load_Factor,Cargo_Freight,Cargo_Mail,Total_Cargo,Passenger_Tonne_Kms,Freight_Tonne_Kms,Mail_Tonne_Kms,Total_Tonne_Kms,Available_Tonne_Kms,Weight_Load_Factor
JAN,5254,35361,25721,1024098,5817199,6607838,88.0,14279.2,204.0,14483.2,628175.0,91188.9,1569.0,720932.9,794929.9,90.7
FEB,4852,32746,23961,955197,5449990,6166912,88.4,14776.4,156.3,14932.7,576349.3,93644.9,1240.9,671235.1,736399.2,91.2
MAR,5222,34832,25534,965068,5395312,6543927,82.5,17447.8,210.6,17658.5,562000.8,110564.2,1686.0,674251.1,771919.3,87.4
APR,5092,34365,24759,936587,5203894,6334257,82.2,15327.9,204.4,15532.3,547152.5,96370.4,1618.7,645141.6,746073.2,86.5
MAY,5118,35967,24882,915535,5058920,6376435,79.3,17441.9,226.6,17668.5,533843.4,106311.1,1731.4,641885.8,748263.2,85.8
JUN,4468,28926,19788,795343,4026458,4909235,82.0,25305.1,154.8,25459.9,416872.8,149659.3,962.2,567494.4,932520.1,60.9
JUL,4660,30865,21300,785494,4078194,5341429,76.4,27517.4,192.8,27710.2,423697.2,162858.9,1418.9,587975.0,602828.0,97.5
AUG,4715,32356,21192,819812,4292902,5298489,81.0,20798.5,187.3,20985.8,447877.7,136114.3,1312.2,585304.2,615146.0,95.2
SEP,4551,29228,20026,771730,3869305,5046302,76.7,26720.2,227.4,26947.6,403536.3,156772.6,1523.0,561831.9,588246.2,95.5
TOTAL,43932,294646,207161,7968864,43192175,52624824,82.1,179614.4,1764.3,181378.7,4539505.0,1103484.7,13062.4,5656052.2,6536325.2,86.5
